Name,Subtitile,Authoring country,Authorinng regional organization,All applicable countries,Topics,Subtopics,Document type,Description,Date of original publication,Date entered into force,Language,Original language title,File URL,size,type
(2021/C 13/01) Guidance document on the scope of application and core obligations of Regulation (EU) No 511/2014,,,European Union,"AUT,BEL,BGR,HRV,CYP,CZE,DNK,EST,FIN,FRA,DEU,GRC,HUN,IRL,ITA,LVA,LTU,LUX,MLT,NLD,POL,PRT,ROU,SVK,ESP,SWE",Access and benefit-sharing,"Scope of legislation, Digital sequence information (DSI), Prior informed consent (PIC), Contractual terms, Access to resources, Compliance",Supporting document,"Discusses in detail, with illustrative examples, the scope of the EU ABS Regulation, the obligations of the user, events which trigger a duty of due diligence, and sector-specific issues (Food and Agriculture, and Health).
",2016-08-27,,English,(2021/C 13/01) Guidance document on the scope of application and core obligations of Regulation (EU) No 511/2014,https://ampeid.org/static/14a22af3d632ecc318a3d30620f25a26/CELEX_52021XC0112(02)_EN_TXT..pdf,1.2 MB,.pdf
(2021/C 13/01) Guidance document on the scope of application and core obligations of Regulation (EU) No 511/2014,,,European Union,"AUT,BEL,BGR,HRV,CYP,CZE,DNK,EST,FIN,FRA,DEU,GRC,HUN,IRL,ITA,LVA,LTU,LUX,MLT,NLD,POL,PRT,ROU,SVK,ESP,SWE",Access and benefit-sharing,"Scope of legislation, Digital sequence information (DSI), Prior informed consent (PIC), Contractual terms, Access to resources, Compliance",Supporting document,"Discusses in detail, with illustrative examples, the scope of the EU ABS Regulation, the obligations of the user, events which trigger a duty of due diligence, and sector-specific issues (Food and Agriculture, and Health).
",2016-08-27,,German,Leitfaden zu dem Anwendungsbereich und den Kernverpflichtungen der Verordnung (EU) Nr. 511/2014,https://ampeid.org/static/7222a2974e69a1ca71e0f66227d44703/CELEX_52021XC0112(02)_DE_TXT..pdf,1.26 MB,.pdf
(2021/C 13/01) Guidance document on the scope of application and core obligations of Regulation (EU) No 511/2014,,,European Union,"AUT,BEL,BGR,HRV,CYP,CZE,DNK,EST,FIN,FRA,DEU,GRC,HUN,IRL,ITA,LVA,LTU,LUX,MLT,NLD,POL,PRT,ROU,SVK,ESP,SWE",Access and benefit-sharing,"Scope of legislation, Digital sequence information (DSI), Prior informed consent (PIC), Contractual terms, Access to resources, Compliance",Supporting document,"Discusses in detail, with illustrative examples, the scope of the EU ABS Regulation, the obligations of the user, events which trigger a duty of due diligence, and sector-specific issues (Food and Agriculture, and Health).
",2016-08-27,,Spanish,"Documento de orientación sobre el alcance de la aplicación y las obligaciones fundamentales del Reglamento (UE) n.o 511/2014 ",https://ampeid.org/static/da260db23197f0c90e7b11cfe547f481/CELEX_52021XC0112(02)_ES_TXT..pdf,1.26 MB,.pdf
(2021/C 13/01) Guidance document on the scope of application and core obligations of Regulation (EU) No 511/2014,,,European Union,"AUT,BEL,BGR,HRV,CYP,CZE,DNK,EST,FIN,FRA,DEU,GRC,HUN,IRL,ITA,LVA,LTU,LUX,MLT,NLD,POL,PRT,ROU,SVK,ESP,SWE",Access and benefit-sharing,"Scope of legislation, Digital sequence information (DSI), Prior informed consent (PIC), Contractual terms, Access to resources, Compliance",Supporting document,"Discusses in detail, with illustrative examples, the scope of the EU ABS Regulation, the obligations of the user, events which trigger a duty of due diligence, and sector-specific issues (Food and Agriculture, and Health).
",2016-08-27,,French,(2021/C 13/01) Guidance document on the scope of application and core obligations of Regulation (EU) No 511/2014,https://ampeid.org/static/7394e047a59970072c8a8dc0f6e6541a/CELEX_52021XC0112(02)_FR_TXT..pdf,1.28 MB,.pdf
(2021/C 13/01) Guidance document on the scope of application and core obligations of Regulation (EU) No 511/2014,,,European Union,"AUT,BEL,BGR,HRV,CYP,CZE,DNK,EST,FIN,FRA,DEU,GRC,HUN,IRL,ITA,LVA,LTU,LUX,MLT,NLD,POL,PRT,ROU,SVK,ESP,SWE",Access and benefit-sharing,"Scope of legislation, Digital sequence information (DSI), Prior informed consent (PIC), Contractual terms, Access to resources, Compliance",Supporting document,"Discusses in detail, with illustrative examples, the scope of the EU ABS Regulation, the obligations of the user, events which trigger a duty of due diligence, and sector-specific issues (Food and Agriculture, and Health).
",2016-08-27,,Italian,"Documento di orientamento relativo all'ambito di applicazione e ai principali obblighi del
regolamento (UE) n. 511/2014",https://ampeid.org/static/5ee6fb111b74734f55c20da023c77d63/CELEX_52021XC0112(02)_IT_TXT..pdf,1.24 MB,.pdf
(2021/C 13/01) Guidance document on the scope of application and core obligations of Regulation (EU) No 511/2014,,,European Union,"AUT,BEL,BGR,HRV,CYP,CZE,DNK,EST,FIN,FRA,DEU,GRC,HUN,IRL,ITA,LVA,LTU,LUX,MLT,NLD,POL,PRT,ROU,SVK,ESP,SWE",Access and benefit-sharing,"Scope of legislation, Digital sequence information (DSI), Prior informed consent (PIC), Contractual terms, Access to resources, Compliance",Supporting document,"Discusses in detail, with illustrative examples, the scope of the EU ABS Regulation, the obligations of the user, events which trigger a duty of due diligence, and sector-specific issues (Food and Agriculture, and Health).
",2016-08-27,,Dutch,Leidraad betreffende het toepassingsgebied en de kernverplichtingen van Verordening (EU) nr. 511/2014,https://ampeid.org/static/907ee886edb5ec027ad53ec684f2bae9/CELEX_52021XC0112(02)_NL_TXT..pdf,1.29 MB,.pdf
11/2017. (VI. 12.) EMMI decree on waste management activities related to pharmaceutical waste generated during the supply of medicines to the public,,HUN,,HUN,"Antimicrobial resistance and water, sanitation, and hygiene","Medical waste disposal, Water quality standards, Water quality monitoring, Pollutant disposal in water sources",Regulation,"This regulation establishes the standards and enforcement mechanisms for the use, transport, treatment and disposal of medical and pharmaceutical waste in Hungary. It further established the regulatory measures for monitoring the impact of their disposal on the surrounding environment and outlines the environmental standards that need to be met in these areas. 
",2017-11-01,2017-11-01,Hungarian,11/2017. (VI. 12.) EMMI rendelet a lakossági gyógyszerellátás során képződött gyógyszerhulladékkal kapcsolatos hulladékgazdálkodási tevékenységekről,https://ampeid.org/static/6eda3e49054287ab11cca0d9061b3fe2/hun11_2017. (VI. 12.) EMMI rendelet..pdf,1.8 MB,.pdf
1967 Sanitary Code,,CHL,,CHL,"Childhood vaccination, General vaccination policies, Quarantine and isolation","Authority to isolate, Authority to quarantine, Emergency vaccination authority, Enforcement of childhood vaccination requirement, Exemption from childhood vaccination requirement, Isolation enforcement mechanisms and penalties, List of actionable diseases, Quarantine and isolation policies, Quarantine enforcement mechanisms and penalties, Childhood vaccination requirement, Enforcement of emergency vaccination",Legislation,"This law modifies the 1931 Sanitary Code and sets forth provisions on vaccinations, quarantine, and isolation. 
",1967-12-11,1968-01-31,Spanish,Codigo Sanitario 1967,https://ampeid.org/static/599451ddf8c57d7dd55e3b41fff20494/CHL_Codigo Sanitario_1967..pdf,1.05 MB,.pdf
2015 No. 821 The Nagoya Protocol (Compliance) Regulations 2015,,GBR,,GBR,Access and benefit-sharing,"Scope of legislation, Compliance, Legal sanctions, Access to resources",Regulation,"This Regulation implements the Nagoya Protocol within the UK law as per the EU ABS legislation. This outlines the various ways in which compliance will be enforced and penalised in cases of infraction. 
",2015-03-23,2015-10-12,English,The Nagoya Protocol (Compliance) Regulations 2015,https://ampeid.org/static/99c21fce35872d93461b000e561b1010/NagoyaProtocol..pdf,450 kB,.pdf
5/2023. (I. 12.) Government Decree on the quality requirements of drinking water and the inspection procedure,,HUN,,HUN,"Antimicrobial resistance and water, sanitation, and hygiene","Water quality monitoring, Water quality standards",Regulation,"This decree establishes the standards for drinking water quality and the procedures for monitoring potable water. 
",2023-01-13,2023-01-13,Hungarian,5/2023. (I. 12.) Korm. rendelet az ivóvíz minőségi követelményeiről és az ellenőrzés rendjéről,https://ampeid.org/static/20b67ca9b8026be8d8ba625032b1ee35/hun216163..pdf,1.51 MB,.pdf
