Topic,Subtopic,Country,Status,Status justification
Access and benefit-sharing,Scope of legislation,TJK,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Access and benefit-sharing,Scope of legislation,CAN,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Access and benefit-sharing,Scope of legislation,FJI,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Access and benefit-sharing,Scope of legislation,SLE,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Access and benefit-sharing,Scope of legislation,AND,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Access and benefit-sharing,Scope of legislation,ARM,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Access and benefit-sharing,Scope of legislation,AZE,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Access and benefit-sharing,Scope of legislation,BIH,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Access and benefit-sharing,Scope of legislation,GEO,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Access and benefit-sharing,Scope of legislation,ISL,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Access and benefit-sharing,Scope of legislation,ISR,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Access and benefit-sharing,Scope of legislation,KAZ,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Access and benefit-sharing,Scope of legislation,MCO,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Access and benefit-sharing,Scope of legislation,MDA,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Access and benefit-sharing,Scope of legislation,RUS,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Access and benefit-sharing,Scope of legislation,SRB,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Access and benefit-sharing,Scope of legislation,SMR,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Access and benefit-sharing,Scope of legislation,TUR,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
